Titre,Labels,Content
Saignement de nez : quand alerter,"épistaxis, SAMU, traumatisme, médicaments","Prise en charge médicale si l’enfant saigne encore, saigne de nouveau après arrêt de la compression, saigne après une chute ou un coup, ou prend des médicaments. Reprendre la compression des narines, surveiller l’état de conscience, alerter le SAMU 15 et suivre les conseils du médecin."
Plaie simple : nettoyage et protection,"plaie simple, antiseptique, pansement, tétanos","Pour une éraflure ou une coupure superficielle hors œil et orifice naturel : se laver les mains, mettre des gants, nettoyer la plaie à l’eau avec ou sans savon en utilisant une compresse pour enlever les souillures, appliquer éventuellement un antiseptique, protéger par un pansement. Prévenir les parents et leur conseiller un avis médical pour vérifier la vaccination antitétanique et en cas d’apparition secondaire d’une zone chaude, rouge, gonflée ou douloureuse."
Plaie grave : conduite à tenir,"plaie grave, objet pénétrant, thorax, abdomen, œil, SAMU","Plaie grave si objet pénétrant, projectile, injection de liquide sous pression, morsure, plaie au thorax, à l’abdomen, à l’œil ou à un orifice naturel. En cas d’hémorragie, arrêter le saignement. Ne jamais retirer l’objet pénétrant resté dans la plaie. Installer l’enfant assis si plaie au thorax, sur le dos jambes fléchies si plaie à l’abdomen, allongé dans les autres cas ; pour une plaie à l’œil, yeux fermés et tête immobile. Alerter le SAMU 15 et suivre les consignes. En cas de perte de connaissance, appliquer la conduite adaptée."
Brûlure simple : premiers soins,"brûlure simple, refroidissement, eau tempérée, pansement","Brûlure simple : une ou plusieurs cloques dont la surface totale est inférieure à la moitié de la paume de la main de l’enfant, ou rougeur/cloque non située au visage, cou, articulations, mains ou près des orifices naturels. Refroidir immédiatement par ruissellement d’eau tempérée et poursuivre environ dix minutes jusqu’à disparition de la douleur. Ne jamais percer les cloques. Protéger par un pansement. Prévenir les parents et conseiller un avis médical pour le tétanos ou en cas de signes d’infection secondaire."
Brûlure grave : critères et conduite,"brûlure grave, chimique, électrique, SAMU, refroidissement","Brûlure grave si cloques étendues au-delà de la moitié de la paume, aspect noirâtre ou blanchâtre, localisation au visage, cou, articulations, mains ou près des orifices naturels, rougeur étendue, ou brûlure chimique/électrique. Refroidir immédiatement par ruissellement d’eau tempérée. Pendant l’arrosage, alerter le SAMU 15 et suivre les consignes. Poursuivre le refroidissement selon l’avis du SAMU. Après refroidissement, installer l’enfant allongé ou assis en cas de gêne respiratoire, en laissant la partie brûlée visible. En cas de perte de connaissance, appliquer la conduite adaptée."
Électrisation : sécurité et conduite,"électrisation, électricité, brûlure, SAMU, disjoncteur","Ne jamais toucher la victime avant la suppression du risque électrique. Couper ou faire couper le courant au disjoncteur et éloigner les personnes alentour. Si l’enfant n’a pas perdu connaissance : rechercher les points d’entrée et de sortie du courant, arroser une éventuelle brûlure à l’eau tempérée, alerter le SAMU 15 et suivre les consignes. Si l’enfant a perdu connaissance : alerter le SAMU 15 et pratiquer les gestes correspondant à l’arrêt cardiaque ou à la perte de connaissance avec respiration."
Choc à la tête : surveillance,"choc tête, bosse, hématome, surveillance, parents","En cas de bosse, hématome ou saignement : refroidir avec une poche de glace ou un sachet réfrigérant pendant quelques minutes. En cas de saignement, intercaler une compresse et appuyer. Surveiller attentivement car l’état peut s’aggraver brutalement. Informer les parents."
Choc à la tête : signes d’alerte,"traumatisme crânien, vomissements, somnolence, oreille, SAMU","Signes d’aggravation : agitation ou prostration, trouble du comportement, somnolence, vomissements ou nausées, saignement du nez, saignement ou écoulement liquide de l’oreille, maux de tête persistants, perte de connaissance. Alerter le SAMU 15 et suivre les consignes. En cas de perte de connaissance, appliquer la conduite adaptée."
Traumatisme de la colonne vertébrale,"colonne vertébrale, rachis, immobilisation, SAMU","Si l’enfant reste allongé au sol et se plaint d’une douleur à la tête, au cou ou au dos après un accident de sport ou une chute, ne pas le relever ni le déplacer. Lui demander de ne pas bouger la tête. Alerter le SAMU 15 et suivre les conseils. Maintenir sa tête en permanence dans la position où elle se trouve, avec les deux mains placées de chaque côté. Surveiller en continu. S’il perd connaissance, recontacter le SAMU et appliquer la conduite adaptée."
Dent cassée ou expulsée : conduite,"dent, traumatisme dentaire, sérum physiologique, chirurgien-dentiste","En cas de dent perdue ou cassée : si besoin, arrêter le saignement avec une compresse stérile. Récupérer le morceau ou la dent entière en la tenant par la couronne, jamais par la racine. Conserver la dent dans du sérum physiologique. Ne pas chercher à la réimplanter. Appeler les parents pour savoir s’il s’agit d’une dent de lait ou définitive. Indiquer qu’il faut consulter un chirurgien-dentiste dans l’heure pour une dent définitive et dans la journée pour une dent de lait. Si les parents sont injoignables ou si la dent est définitive, alerter le SAMU 15."
Traumatisme des membres : léger ou sévère,"traumatisme membre, fracture, déformation, glace, SAMU","Traumatisme léger : simple bosse ou petit hématome ; refroidir avec une poche de glace ou un sachet réfrigérant enveloppé d’un tissu pendant quelques minutes, informer les parents et conseiller une surveillance pendant 24 h. Traumatisme sévère : douleur vive persistante, gonflement visible, déformation visible ; ne pas bouger le membre, ne pas tenter de réaligner les os, alerter le SAMU 15, ne pas donner à boire ni à manger. En cas de répétition ou de marques multiples, penser à une maltraitance."
Section de doigt : conduite,"section doigt, amputation, compresses stériles, glace, SAMU","En cas de section incomplète ou complète d’un doigt : si saignement abondant, comprimer la plaie avec des compresses stériles, allonger l’enfant, ne pas donner à boire ni à manger. Si section incomplète, protéger le doigt avec des compresses stériles puis alerter le SAMU 15. Si section complète, ramasser le doigt sectionné, l’envelopper dans un sachet plastique puis poser le sachet sur de la glace sans contact direct entre le doigt et la glace, puis alerter le SAMU 15."
Corps étranger dans le nez ou l’oreille,"corps étranger, nez, oreille, SAMU","Si un corps étranger est coincé dans le nez ou l’oreille : demander à l’enfant de ne pas y toucher, ne pas essayer de le retirer, ne pas faire moucher, alerter ou faire alerter le SAMU 15 et suivre les conseils du médecin."
Piqûre d’insecte : surveillance simple,"piqûre insecte, dard, antiseptique, allergie, parents","Pour une piqûre unique située hors bouche et gorge : retirer le dard s’il y en a un avec une pince à écharde, désinfecter avec un antiseptique, prévenir rapidement les parents et demander si l’enfant est allergique aux piqûres d’insectes, puis surveiller l’enfant."
Piqûre d’insecte : critères de gravité,"piqûre insecte, bouche, gorge, allergie, anaphylaxie, SAMU","Prise en charge médicale si piqûre au niveau de la bouche ou de la gorge, plusieurs piqûres, ou réaction allergique avec voix qui change, difficulté à parler, difficultés respiratoires, sifflements, toux, état de malaise, ou deux signes associés parmi les signes cutanéo-muqueux et digestifs. Alerter le SAMU 15 et suivre les consignes. En cas de réaction allergique, appliquer la conduite de l’anaphylaxie sévère."
Morsure de serpent : conduite,"serpent, morsure, venin, glace, SAMU","Signes : traces de crocs espacées de quelques millimètres, rougeur, douleur. Calmer et rassurer l’enfant, l’allonger et lui demander de ne pas bouger, alerter le SAMU 15 et suivre les conseils, désinfecter la morsure avec un antiseptique, refroidir avec une poche de glace ou un sachet réfrigérant, ne pas essayer d’aspirer le venin."
Protocole d’alerte : évaluer,"protocole alerte, évaluation, sécurité, conscience, respiration, traumatisme","Avant tout, ne pas déplacer ni relever la personne avant l’avis d’un professionnel de santé. Évaluer rapidement la situation : mettre la victime en sécurité si nécessaire en écartant durablement le danger ; vérifier si elle saigne ; rechercher les signes de l’état de conscience ; si la victime est consciente, rechercher détresse respiratoire, étouffement, malaise inhabituel, traumatisme, plaie grave ou brûlure grave ; si elle a perdu connaissance, vérifier si elle respire."
Protocole d’alerte : alerter,"protocole alerte, 15, 18, 112, 114, informations à transmettre","Alerter rapidement et précisément. Numéros d’urgence : 15 SAMU, 18 pompiers, 112 numéro d’urgence dans l’Union européenne, 114 pour les personnes sourdes et malentendantes. Appeler en priorité le 15 sauf consigne locale contraire, de préférence avec un téléphone portable. Transmettre le numéro de téléphone, la nature du problème, l’adresse détaillée, la localisation précise (commune, rue, numéro, portail, code d’accès, salle). Répondre aux questions et ne raccrocher que sur instruction. Appeler l’infirmier ou le médecin s’il est présent. Faire prévenir le responsable de l’école ou de l’établissement, qui se chargera d’informer les représentants légaux."
Protocole d’alerte : secourir et organiser l’accueil des secours,"protocole alerte, secourir, surveillance, accueil secours, fiche de soins","Appliquer les conseils donnés par le SAMU. Rester auprès de la victime, la couvrir et la rassurer. Ne pas donner à boire ni à manger sans avis médical et hors PAI. Rappeler le 15 en cas d’amélioration ou d’aggravation de l’état. Faciliter l’arrivée des secours : faire ouvrir le portail, guider les secours, éviter les attroupements. À leur arrivée, transmettre une copie de la fiche de soins et d’urgence de l’élève."
Gestion des urgences en milieu scolaire,"urgence, école, PAI, trousse d'urgence, famille, signalement","En l’absence de personnel de santé ou de détenteur du PSC, agir simplement et rapidement dans l’attente des secours. Vérifier si l’enfant a un PAI ou une trousse d’urgence et appliquer le protocole « conduite à tenir en cas d’urgence » si les signes correspondent. Dans tous les cas, contacter la famille et l’informer des événements. Certains troubles récurrents ou préoccupants doivent être signalés aux personnels de santé. Les gestes d’urgence présentés peuvent être pratiqués par toute personne présente qui se sent capable de les faire."
Urgences vitales : quand appeler immédiatement le 15,"SAMU, 15, urgence vitale, anaphylaxie, hémorragie, obstruction, perte de connaissance, arrêt cardio-respiratoire","Les situations d’urgence vitale nécessitant une intervention immédiate avant l’arrivée du SAMU sont : arrêt cardio-respiratoire, anaphylaxie sévère, obstruction des voies respiratoires, perte de connaissance, hémorragie. Ces 5 situations nécessitent toutes l’appel du 15."
Arrêt cardiaque : reconnaître la situation,"arrêt cardiaque, inconscience, absence de respiration, signes","Signes : l’enfant ne parle pas, ne bouge pas, ne réagit pas aux sollicitations. Ni le ventre ni la poitrine ne se soulèvent, aucun flux d’air n’est observé, aucun bruit de respiration n’est perçu. Conclusion : l’enfant a perdu connaissance et ne respire pas."
Arrêt cardiaque : conduite immédiate,"arrêt cardiaque, massage cardiaque, défibrillateur, SAMU, réanimation",Alerter ou faire alerter le SAMU 15 immédiatement. Débuter immédiatement un massage cardiaque. Mettre en œuvre le plus tôt possible un défibrillateur automatique. Poursuivre la réanimation jusqu’à l’arrivée des secours.
Massage cardiaque : compressions thoraciques,"massage cardiaque, compressions thoraciques, réanimation, thorax","Installer l’enfant sur le dos sur une surface rigide. Se placer à genoux à côté de l’enfant, au niveau du thorax. Dénuder la poitrine. Placer le talon d’une main au centre de la poitrine sur la moitié inférieure du sternum. Comprimer le thorax de 5 cm, à une fréquence de 100 à 120 compressions par minute, bras tendu et vertical. Entre deux compressions, laisser le thorax reprendre sa forme initiale sans décoller la main. Pour un enfant de grande taille, placer l’autre main sur la première en entrecroisant les doigts. Si l’intervenant est formé, alterner 30 compressions et 2 insufflations."
rousse d’urgence maison – précautions supplémentaires,"trousse urgence, sifflet, masque antipoussière, secours, air contaminé","Pour encore plus de précaution, il est recommandé d’ajouter un sifflet pour signaler sa présence aux secouristes et des masques antipoussières pour filtrer l’air contaminé."
Sac d’évacuation – médicaments et hygiène,"évacuation, sac urgence, médicaments, hygiène, brosse à dents, savon, papier hygiénique","Si l’on doit évacuer son domicile, il faut emporter des médicaments et des articles pour l’hygiène comme des brosses à dents, des serviettes, du savon, du papier hygiénique et des sacs à ordures."
"Sac d’évacuation – vêtements, couvertures, argent et clés","évacuation, vêtements de rechange, couvertures, argent comptant, monnaie, clés","En cas d’évacuation, il faut emporter des vêtements de rechange, des couvertures, de l’argent comptant et de la monnaie, ainsi que les clés de voiture et de maison."
"Sac d’évacuation – documents, bébés, animaux, mobilité réduite","évacuation, papiers personnels, identité, bébé, couches, biberons, animaux, mobilité réduite","En cas d’évacuation, il faut emporter les papiers personnels importants, comme les photocopies des pièces d’identité, les articles pour bébés (lait maternisé, couches jetables, biberons), les articles pour animaux domestiques (nourriture, médicaments, laisse). Les articles d’évacuation devraient être préparés à l’avance dans un sac à dos ou un bac. Une personne à mobilité réduite ne doit pas oublier sa canne, sa marchette ou son fauteuil roulant."
Trousse d’urgence automobile – équipement hiver et panne,"trousse auto, automobile, hiver, panne, pelle, grattoir, balai à neige, sel, sable, traction","Dans une trousse d’urgence automobile, il est utile d’avoir une pelle, un grattoir, un balai à neige, du sable ou du sel, ainsi que des bandes de traction pour faire face à l’hiver, à une panne ou à un accident."
Trousse d’urgence automobile – sécurité et survie,"trousse auto, lampe, premiers soins, ceinture sécurité, fusées, eau, nourriture, câbles survoltage","La trousse d’urgence pour l’automobile devrait aussi contenir une lampe de poche avec piles de rechange, une trousse et un manuel de premiers soins, des ciseaux pour couper les ceintures de sécurité, des fusées éclairantes ou une lanterne d’avertissement, des bouteilles d’eau, des aliments non périssables et des câbles de survoltage."
"Trousse d’urgence automobile – chaleur, cartes et constat amiable","trousse auto, allumettes, bougies, couvertures, bottes, cartes routières, constat amiable","Il est recommandé d’avoir dans le véhicule des allumettes et des bougies dans une boîte de métal ou un sac de plastique, des couvertures, des vêtements chauds, des bottes de rechange, des cartes routières et un constat amiable."
Eau contaminée et argent comptant en urgence,"eau contaminée, urgence, municipalité, argent comptant, guichet, carte bancaire","Si l’on soupçonne que l’eau est contaminée, il faut s’informer auprès de la municipalité ou des autorités locales. En cas de doute, il ne faut pas boire l’eau. Il est aussi conseillé de garder de l’argent comptant, car les guichets automatiques, les réseaux bancaires et les paiements par carte peuvent ne pas fonctionner en situation d’urgence ou de panne électrique."
Tempête violente – préparation du domicile,"tempête, orage, tornade, microrafale, préparation, branches mortes, gouttières, toit, trousse urgence","Pour se préparer à une tempête violente, il faut couper les branches mortes et les arbres morts susceptibles de tomber sur la maison, contacter Hydro-Québec si des arbres sont proches des fils électriques, nettoyer les gouttières, les drains et les tuyaux de descente des eaux pluviales, vérifier l’état du toit et préparer une trousse d’urgence."
Tempête violente – vigilance avant l’événement,"tempête, alerte météo, environnement canada, radiométéo, excursion nautique, bateau","À l’approche d’une tempête violente, il faut suivre les alertes d’Environnement Canada sur meteo.gc.ca, via les lignes téléphoniques automatisées, Radiométéo, la radio et la télévision. Avant une excursion nautique, il faut toujours consulter les bulletins météorologiques et éviter de partir en bateau par temps orageux. Si le mauvais temps approche en étant déjà sur l’eau, il faut se diriger immédiatement vers la rive."
Tempête violente – sécuriser les objets et prévoir un refuge,"tempête, vents violents, objets emportés, meubles de jardin, poubelles, refuge familial","Avant la tempête, il faut ancrer tout ce qui pourrait être emporté ou arraché par le vent, à l’intérieur comme à l’extérieur, notamment les poubelles, les meubles de jardin, les auvents ou les abris temporaires. Il faut aussi envisager de se réfugier dans l’endroit prévu dans le plan d’urgence familial."
Tempête violente – consignes pendant la tempête,"tempête, intérieur, fenêtres, portes, foyer, évacuation, téléphone, voiture, neige","Pendant une tempête, si l’on est à l’intérieur, il faut s’éloigner des fenêtres, des portes et du foyer. Si les autorités demandent d’évacuer, il faut le faire sans délai et apporter sa trousse d’urgence. L’utilisation d’un téléphone ordinaire comporte des risques ; il vaut mieux utiliser un téléphone cellulaire ou sans fil. En voiture, il faut immobiliser le véhicule loin des arbres et des fils électriques, éviter les zones à risque d’inondation et rester dans le véhicule. En tempête de neige, si la voiture est immobilisée, il ne faut pas sortir et il faut entrouvrir une fenêtre lorsque le moteur tourne pour éviter une intoxication au monoxyde de carbone."
Vents violents – où se réfugier chez soi,"vents violents, sous-sol, salle de bain, corridor, garde-robe, meuble solide, maison mobile","En cas de vents violents, il faut réunir les membres de la famille dans un lieu sûr, idéalement au sous-sol sous un meuble solide. S’il n’y a pas de sous-sol, il faut se réfugier dans une salle de bain, un corridor, un garde-robe ou sous un meuble solide. Il faut s’éloigner des portes et fenêtres, éviter l’ascenseur dans un immeuble et évacuer une maison mobile, car elle peut être emportée par le vent."
Vents violents – où se réfugier dehors et après le passage,"vents violents, dehors, viaduc, fossé, débris, fils électriques, eau potable, bâtiment endommagé","Si l’on est dehors pendant des vents violents, il faut se réfugier dans un bâtiment sûr au toit solide. S’il n’y a pas d’abri, il faut chercher refuge sous un viaduc, dans un fossé ou dans un repli de terrain, se coucher face contre sol et protéger sa tête avec les mains. Après le passage des vents, il faut faire attention aux débris coupants, ne pas toucher les fils électriques tombés ou pendants, ne jamais entrer dans un bâtiment endommagé et vérifier la qualité de l’eau potable auprès de la municipalité en cas de doute."
Inondation – prévention avant l’alerte,"inondation, clapet antirefoulement, égout, fosse septique, gouttières, drains, municipalité","Certains dommages liés à l’eau peuvent être évités grâce à un clapet antirefoulement, qui empêche l’eau d’un branchement d’égout principal surchargé ou d’une fosse septique de refouler dans le sous-sol. Il faut se renseigner auprès d’un spécialiste en plomberie. À l’automne, il faut nettoyer les gouttières et les drains et retirer les feuilles. Si la bouche d’égout refoule, il faut communiquer avec la municipalité."
Inondation – gestes à faire en cas d’alerte,"inondation, alerte, objets en hauteur, drain sous-sol, gaz, électricité, radio, télévision, internet","En cas d’alerte d’inondation, il faut ranger en hauteur ou monter à l’étage les objets situés au sous-sol ou au rez-de-chaussée, boucher le drain du sous-sol, fermer le gaz et l’électricité. Si l’eau a commencé à monter, il faut avoir les pieds sur une surface sèche et utiliser un bâton de bois pour couper le courant. Il faut suivre l’évolution de la situation à la radio, à la télévision ou sur Internet et respecter les consignes de sécurité transmises."
Inondation – gestes à faire pendant l’inondation,"inondation, quitter domicile, évacuation, vêtements chauds, imperméable, véhicule, moteur cale, autorités municipales","Pendant l’inondation, il faut quitter son domicile si le niveau de l’eau l’impose ou si les autorités le demandent. Il faut emporter des articles essentiels comme des vêtements chauds et des imperméables. Si l’on utilise un véhicule, il faut conduire prudemment et l’abandonner si le moteur cale. Il faut prévenir les autorités municipales du lieu où l’on peut être joint si l’on ne va pas dans un centre d’hébergement."
Inondation – sécurité électricité et eau potable après retrait des eaux,"inondation, après crue, électricien, chauffage, aqueduc, eau bouillie, puits, analyse","Après le retrait de l’eau, il faut consulter un électricien avant de rebrancher le courant et consulter un spécialiste avant de remettre en marche les appareils de chauffage. Il faut communiquer avec la municipalité pour vérifier si l’eau de l’aqueduc est potable. En cas de doute, il faut la faire bouillir cinq minutes. Si l’eau potable provient d’un puits, elle doit être analysée avant consommation."
"Inondation – aliments, hygiène et cuisine contaminée","inondation, aliments contaminés, médicaments, stérilisation, lavage des mains, objets souillés","Après une inondation, il faut jeter tous les aliments, périssables ou non, ainsi que les médicaments ayant été en contact avec l’eau. Les articles de cuisine contaminés doivent être stérilisés à l’eau bouillante. Après avoir manipulé des objets souillés, il faut éviter de porter ses mains ou ses gants au visage et bien se laver les mains."
Inondation – débris et autorisations de nettoyage,"inondation, débris, cours d’eau, autorisation, municipalité, déchets solides, matières dangereuses","Pour éliminer les débris laissés par une crue, des travaux de régularisation peuvent nécessiter une autorisation préalable de la municipalité. Les déchets solides doivent être déposés dans un lieu d’enfouissement sanitaire. Les autres types de déchets, comme les pneus ou les matières dangereuses, doivent être déposés dans un lieu autorisé à les recevoir."
Inondation – assainissement de la maison,"inondation, nettoyage maison, placoplâtre, laine minérale, tapis, bois pressé, contamination","Dans la maison, il faut nettoyer les pièces contaminées par l’inondation, retirer l’eau et jeter tous les matériaux absorbants comme le placoplâtre, la laine minérale, les tapis et le bois pressé. Conserver des objets ou matériaux souillés augmente à long terme la contamination de la maison et les risques pour la santé des occupants."
Inondation – quoi jeter après sinistre,"inondation, quoi jeter, matelas, sommiers, oreillers, meubles rembourrés, moquettes, moisissures","Après une inondation, il faut jeter tous les aliments, médicaments, articles de toilette et produits de beauté en contact direct avec l’eau, les matelas, sommiers, oreillers et meubles rembourrés trempés, les tapis et moquettes, ainsi que tous les matériaux trempés qui favorisent les moisissures. La laine isolante mouillée doit être retirée, et il faut vérifier les murs jusqu’à 50 cm au-dessus du niveau de l’eau puis ouvrir les murs ayant absorbé de l’eau."
Plan d’évacuation – éléments à dessiner,"plan d’évacuation, domicile, sorties, avertisseurs fumée, extincteur, trajets, point de rassemblement","Le plan d’évacuation du domicile doit être dessiné avec la participation des enfants et des autres occupants. Pour chaque pièce, il faut indiquer deux sorties accessibles si possible, comme une porte et une fenêtre, l’emplacement de tous les avertisseurs de fumée, l’emplacement des extincteurs portatifs, les trajets en pointillé pour sortir, et le point de rassemblement extérieur, généralement à l’avant de la maison ou de l’immeuble."
Plan d’évacuation – situations particulières,"plan d’évacuation, jeunes enfants, personnes âgées, handicap, 911, voisin, locataire, propriétaire","Le plan d’évacuation doit prévoir comment évacuer les jeunes enfants, les personnes âgées ou handicapées, et comment joindre le 9-1-1 une fois à l’extérieur, par exemple en allant chez un voisin. Si l’on est locataire, il faut connaître la procédure d’évacuation prévue par le propriétaire ou lui signaler l’importance d’en prévoir une."
Plan d’évacuation – vérifier les sorties et fenêtres,"plan d’évacuation, sorties dégagées, neige, fenêtres, échelle de secours, accès enfant","Il faut s’assurer que les sorties indiquées sur le plan, comme les portes, fenêtres, corridors, balcons, galeries ou cages d’escalier, sont dégagées en tout temps. Il faut surveiller les objets encombrants et l’accumulation de neige. Les fenêtres servant de sorties ne doivent pas être obstruées, doivent être déneigées et déglacées en hiver, être accessibles à un jeune enfant qui sait les ouvrir, et être équipées d’un moyen sécuritaire pour atteindre le sol depuis un étage supérieur, comme une échelle de secours."
Évacuation incendie – réactions au son de l’avertisseur,"incendie, avertisseur de fumée, évacuation, point de rassemblement, 911, ne pas retourner","Au son de l’avertisseur de fumée, il faut alerter immédiatement les enfants et les autres occupants, sortir sans perdre de temps, se rendre au point de rassemblement, vérifier que personne ne manque à l’appel, appeler le 9-1-1 et attendre les pompiers au point de rassemblement. Il ne faut jamais retourner à l’intérieur, même pour sauver une personne, un animal ou récupérer ses effets personnels."
Évacuation incendie – si la porte est chaude ou s’il y a de la fumée,"incendie, porte chaude, fumée, marcher à quatre pattes, fenêtre, linge, sortie proche","Si la porte de la pièce où l’on se trouve est chaude au toucher, il ne faut pas l’ouvrir, il faut bloquer la fumée au pied de la porte avec un linge ou un vêtement et signaler sa présence à la fenêtre. S’il y a beaucoup de fumée, il faut marcher à quatre pattes pour mieux voir et respirer moins de fumée toxique, puis se diriger rapidement vers la sortie la plus proche."
Chaleur extrême – seuils d’alerte,"chaleur extrême, environnement canada, humidex, température, avertissement chaleur","Au Canada, des avertissements de chaleur sont diffusés lorsqu’une température de 30 °C ou plus avec un humidex de 40 ou plus, ou une température de 40 °C ou plus, est prévue pendant au moins une heure. La définition régionale de chaleur extrême varie, mais correspond en moyenne à 31 à 33 °C le jour et 16 à 20 °C la nuit pendant trois journées consécutives."
Chaleur extrême – préparation avant une vague,"chaleur extrême, préparation, trousse urgence, alertes météo, coup de chaleur, travail","Avant une vague de chaleur, il faut préparer une trousse d’urgence pour la maison, se renseigner sur les alertes météorologiques en vigueur dans sa région et tenir compte de ces alertes pour planifier ses activités. Il faut aussi se renseigner sur les mesures recommandées pour prévenir les coups de chaleur, notamment dans les milieux de travail."
Chaleur extrême – hydratation et rafraîchissement des adultes,"chaleur, hydratation, eau, alcool, douche fraîche, bain, linge humide, endroit climatisé","Chez les adultes, pour prévenir les effets de la chaleur, il faut boire beaucoup d’eau sans attendre d’avoir soif, éviter les boissons alcoolisées, se rafraîchir souvent en prenant une douche ou un bain frais, en appliquant des linges humides froids sur le visage, les bras et le cou, ou en passant quelques heures par jour dans un endroit climatisé ou ombragé."
Chaleur extrême – protection du domicile et réduction des efforts,"chaleur, efforts physiques, vêtements légers, chapeau, rideaux, stores, ventilation nocturne, appareils chauffants","Pour se protéger de la chaleur, il faut réduire les efforts physiques, porter des vêtements légers, amples et de couleur pâle, ainsi qu’un chapeau à large bord. Il faut planifier les activités physiques pendant les heures les moins chaudes, fermer les fenêtres, rideaux ou stores lorsque le soleil brille, ventiler la résidence la nuit si elle est fraîche, et utiliser au minimum les appareils qui dégagent de la chaleur comme la cuisinière, le four, la sécheuse, la télévision ou certains luminaires."
Chaleur extrême – vigilance envers les proches et recours médicaux,"chaleur, proches vulnérables, personnes âgées, info-santé 811, urgence, hôpital","Pendant les périodes de fortes chaleurs, les personnes vulnérables devraient donner régulièrement des nouvelles à leurs proches et demander de l’aide. Les proches des personnes âgées, vivant seules ou en perte d’autonomie, devraient leur rendre visite régulièrement. Il faut suivre les avertissements de chaleur et, si l’état de santé d’une personne s’aggrave, appeler Info-Santé 811. En cas d’urgence médicale, il faut appeler le 911 ou se rendre au centre hospitalier le plus proche."
Chaleur extrême – bébés et enfants,"chaleur, bébés, enfants, hydratation, allaitement, préparation nourrisson, bain tiède","En période de chaleur, l’état de santé des bébés et des enfants peut se détériorer rapidement. Il faut leur faire boire de l’eau régulièrement. Pour le bébé allaité, il faut offrir le sein à la demande. Pour le bébé nourri aux préparations commerciales, il faut en offrir plus souvent. Pour le bébé de plus de six mois, on peut offrir de l’eau en petites quantités après ou entre les boires. Il faut aussi les rafraîchir souvent, par exemple avec un bain ou une douche tiède, ou en humectant leur peau avec une serviette mouillée."
"Chaleur extrême – protection des enfants, animaux et activités extérieures","chaleur, enfants, voiture, chapeau, animaux, forêt, feu à ciel ouvert, restrictions arrosage","Il faut habiller les enfants avec des vêtements légers, leur couvrir la tête avec un chapeau à large bord, ne jamais les laisser seuls dans une pièce mal ventilée ni dans une voiture, même fenêtres entrouvertes. Il faut limiter leurs activités extérieures, surtout les compétitions sportives d’endurance, et les planifier avant 10 h ou après 16 h. Les activités physiques doivent être limitées chez les enfants malades. Il faut aussi protéger les animaux de la chaleur, leur donner de l’eau et ne jamais les laisser seuls dans une voiture. En période de grande chaleur, il faut respecter les restrictions d’accès à la forêt, les interdictions de feu à ciel ouvert et les restrictions d’arrosage émises par les municipalités."
Sécurité électrique – usage des rallonges et cordons,"électricité, rallonge, cordon, câble, incendie, fil endommagé, tapis, porte, fenêtre","Les rallonges électriques doivent être utilisées de façon occasionnelle et pour de courtes périodes. Pour un usage permanent, il faut faire effectuer des travaux par un maître électricien. Il ne faut jamais dénuder les fils, camoufler une rallonge sous un tapis, utiliser un appareil ou une rallonge au cordon endommagé, ni fixer un fil avec des clous. Il faut éviter de faire passer une rallonge par une porte ou une fenêtre et s’assurer que les appareils sont stables pour ne pas se retrouver suspendus par leur cordon."
"Sécurité électrique – prises, mises à la terre et panneau électrique","électricité, panneau électrique, disjoncteur, fusible, prise multiple, mise à la terre, choc, incendie","Le panneau électrique doit rester accessible en tout temps avec un dégagement d’un mètre. Lorsqu’un fusible saute ou qu’un disjoncteur se déclenche, cela indique souvent une surcharge ; il faut alors débrancher certains appareils. Un fusible doit toujours être remplacé par un modèle aux mêmes caractéristiques. Il ne faut jamais couper la broche ronde de mise à la terre d’une fiche. Les prises multiples doivent être réservées aux appareils à faible consommation. Une prise multiple utilisée en permanence doit être remplacée par l’installation de prises additionnelles par un maître électricien."
"Sécurité électrique – éclairage, plinthes et chaufferettes","électricité, halogène, abat-jour, ampoule, plinthe électrique, chaufferette portative, chauffage d’appoint","Il faut garder les objets inflammables loin des lampes à halogène, ne rien déposer sur l’abat-jour d’un luminaire et ne jamais dépasser la puissance nominale des ampoules. À l’extérieur, il faut utiliser des luminaires adaptés aux intempéries et ranger les lumières de Noël après les Fêtes. Les rideaux, tentures et meubles doivent être dégagés des plinthes électriques. Les chaufferettes portatives doivent être placées loin des matériaux combustibles, installées à un endroit stable, équipées d’un dispositif d’arrêt automatique, branchées directement dans une prise sans rallonge, et ne pas être utilisées en continu à la place d’un chauffage permanent."
Panne de courant en hiver – matériel et comportements,"panne de courant, hiver, radio, chandelles, lampe à l’huile, réchaud fondue, thermostat, réfrigérateur, congélateur","En cas de panne de courant en hiver, il faut disposer d’une lampe de poche avec piles de rechange, d’une radio à piles, de chandelles ou d’une lampe à l’huile avec le combustible recommandé, d’un réchaud à fondue, d’un briquet ou d’allumettes. Si l’on possède un poêle à bois ou un foyer, il faut avoir du combustible et installer un avertisseur de monoxyde de carbone. Pendant la panne, il faut écouter les nouvelles à la radio, baisser les thermostats au minimum, débrancher les appareils sauf une lampe par étage, et ne pas ouvrir inutilement le réfrigérateur ou le congélateur pour conserver les aliments 24 à 48 heures."
